@rchitecture, 32 Castell Coch View,Tongwynlais, CARDIFF,CF15 7LA,02920520800,,www.atrchitecture.co.uk,"The practice provides an efficient, personal service to all clients and has a wide variety of experience of building types."
10Architect,64 Jersey Street,Manchester,,M4 6JW,07802 443 075,,www.10architect.com,"The practice provides an efficient, personal service to all clients and has a wide variety of experience of building types."
1st Architects lse,128 Robinson Road,London,,SW17 9DR,020 8767 1311,,www.1st-architects.com,"Specialists in residential conversion, extension and refurbishment, new build houses, for private clients. Traditional and contemporary design solutions, feasibility studies to full project design and management."
2030 Architects Ltd, 13b Angel Lane,Penrith, Cumbria,CA11 7BP,01768 864224,,www.2030architects.co.uk,"We specialise in sustainable new-build and eco-refurbishment for domestic and commercial properties within The Lake District, Cumbria, North Lancashire, North Yorkshire and Northumberland."
23 Architecture,318 Kensal Road,LONDON,,W10 5BZ,020 8962 8666,,23arc.com,23 Architecture produce high quality design work whilst maintaining a practical approach to the requirements of the client / end user.
2M Architects, 4 St. Marys Way,CHIGWELL, Essex,IG7 5BX,02082799274,,www.2m-architects.com,"2M Architects is an innovative, design led practice that works closely with its clients to provide a bespoke, tailored, friendly, affordable, all encompassing architectural service."
2PM Architects,124 Boundary Road,London,,NW8 0RH,020 7604 4339,,www.2pm-architects.co.uk,"2PM Architects are a creative London based Chartered Architects Practice. We work on a wide range of projects including new build houses, house extensions, renovations, residential refurbishments and loft conversions. We also undertake interior design projects and larger residential and commercial developments and we have experience in working on large scale projects in the UK, China and Germany. 2PM Architects offer full architectural services, guidance and expertise at every stage of a project, and we specialise in working with home owners, developers and other clients to add value and create high quality architectural design on projects in London and across the UK."
2Scale Architects and Designers Ltd, 95 Copthorne Road,SHREWSBURY, Shropshire,SY3 8ND,01743 241521,,www.2scalearchitects.co.uk,With a combined experience of 50 years in Architecture and Interior Design the Directors of 2Scale Architects & Designers delight in offering a first class service for reasonable remuneration. We pride ourselves in our innovative design skills and attention to detail to ensure that we provide our Clients with full customer satisfaction.
31/44 Architects,6 Osborn Street,LONDON,,E1 6TD,020 3735 7820,,www.3144architects.com,"31/44 Architects was established in 2010 by William Burges, James Jeffries and Stephen Davies. The practice name references their locations with studios in both the Netherlands (Amsterdam) and the UK (London). Their current team of ten, comprising architects and architectural assistants is predominantly based in their East London studio near Brick Lane.  The practice works on projects ranging in scale from strategic masterplanning through to smaller scale residential work. During 2015 they completed a family home in the Netherlands and a mixed-use retail and hotel building in Shoreditch, London.  Projects currently in development include refurbishing the conference facilities at The Barbican in London, apartment buildings and a further East London hotel. During 2016 they will complete a number of one-off individual new-build homes dotted around London.  Buildings are characterised by a thoughtful response to context – they are not conceived in isolation, but instead grow out of the particular conditions of each setting, resulting in buildings with an inherent connection to their site whilst ensuring that they are a close reflection of their clients’ requirements.  Careful detailing and craftsmanship of work is common to all 31/44 projects with all projects drawn, tested and coordinated with both CAD and physical models. In both London and Amsterdam they have assembled strong consultant partners with which to deliver projects ensuring they deliver economic, robust and thoughtful buildings.  They teach an undergraduate studio at Kingston University, London and are regular professional practice examiners at a number of architecture schools. Teaching has become a fundamental part of the practice; the constant articulation of ideas, observations and proposals required in the teaching studio transfers to their design studio. It is an essential discipline that continues to help define 31/44."
310 Studio Ltd,62 Bedminster Parade,Bristol,,BS3 4HL,020 3488 8310,,www.310studio.co.uk,"3|10 Studio is an architectural design practice based in Bristol delivering projects in Housing, Education and the Arts throughout the UK, Ireland and further afield.    We work hard to invest what we understand to have value into all our projects regardless of scale."
32 Design,137-139 Brent Street,LONDON,,NW4 4DJ,020 8343 4850,,www.32design.net,"We help you define, imagine and realise your project  Our aim is to make the process of building your project as enjoyable and rewarding as possible. How do we achieve this?  We offer a friendly, professional service tailored to suit your needs, aspirations & budget. We collaborate effectively with other professionals/consultants as well as our clients. We pride ourselves on quality of design and service. We keep up to date on the latest building technology and materials. Our fees will be clear without any hidden costs.  We enjoy working on a diverse range of project types including residential, community and commercial projects."
3bd LLP,13 Backfields Lane,BRISTOL,,BS2 8QW,0117 370 7380,,www.3bdarchitects.com,"We are an experienced RIBA architectural practice with a growing team run by three partners with a strong design focus.  Since forming early in 2010, we've had a clear vision for delivering creative, high-quality architecture and adding value to projects. Our diverse and dynamic team of ambitious individuals are design-driven, technically savvy and experienced in contract management. We specialise in contemporary high-quality residential / commercial extensions and new build small or large scale developments."
3BM Limited,London,,,W6 8BJ,03452708260,,www.spaces.3bm.co.uk,"We are an experienced RIBA architectural practice with a growing team run by three partners with a strong design focus.  Since forming early in 2010, we've had a clear vision for delivering creative, high-quality architecture and adding value to projects. Our diverse and dynamic team of ambitious individuals are design-driven, technically savvy and experienced in contract management. We specialise in contemporary high-quality residential / commercial extensions and new build small or large scale developments."
3DReid,1 Hills Place,London,,W1F 7SA,03452716100,,www.3DReid.com,"We are an award-winning architecture practice. Established in 1979, we have over 130 people across 5 UK studios. We provide full architectural services, from masterplanning to interior design.  Our reputation has been built upon providing creative and intelligent architectural solutions that meet their operational brief without compromise. We seek to be proud of everything we do, from concept to delivery.  The success of our practice and the quality of our projects rely solely on the quality of the people we employ. We encourage our people to move across the organisation, work with different colleagues on different projects and share knowledge, resources and ideas. We believe this improves our skills and expertise and enriches the work we produce for our clients. Everybody at 3DReid is here because they are exceptionally good at what they do. We believe in sincerity, openness and opportunity. We encourage all our people to learn, grow and develop with us. Above all we enjoy the process of making good architecture."
3DReid,26 Cross Street,Manchester,,M2 7AQ,0345 271 6100,,www.3DReid.com,
3DReid, 12 Caroline Street,BIRMINGHAM, West Midlands,B3 1TR,0121 212 2221,,www.3DReid.com,"We are renowned for our expertise, innovation and relationship building abilities. Through our 'Knowledge Led Architecture' approach, we aim to educate and inform our clients."
3DReid,36a North Castle Street,EDINBURGH,,EH2 3BN,03452716300,,www.3DReid.com,"Widely experienced in the commercial sector for financial institutions, developers and end-users.    Proven track record, particularly developer led competitions, completed major projects throughout Uk."
3DReid,45 West Nile Street,GLASGOW,,G1 2PT,03452716350,,www.3DReid.com,"Widely experienced in the commercial sector for financial institutions, developers and end-users.    Proven track record, particularly developer led competitions, completed major projects throughout Uk."
3HW Architecture & Design, 74 Hawkins Way,HELSTON, Cornwall,TR13 8FQ,01326 572101,,www.3hwarchitecture.com,"3HW Architecture & Design is an architectural practice with proven experience in design and construction of bespoke housing, schools, commercial and industrial projects, along with considerable experience in domestic refurbishment, alteration and extensions together with all aspects of interior design. Based in Helston, Cornwall, they offer a range of architectural and design services for a variety of projects, from small domestic extensions to large municipal buildings, in the West Country and beyond with over 80 years of experience working in the construction industry. 3HW Architecture & Design’s aim is to develop a personal working relationship with each of their clients so that they can provide them with an unique service, meeting their requirements and exceeding their expectations by delivering excellent, sustainable design solutions on time and on budget."
3S Architects & Designers, Alexander Place 17a Princes Road,RICHMOND, Surrey,TW10 6DQ,020 8332 9966,,www.3s-ad.com,"3s is an established architectural practice and interior design consultancy providing a full range of architectural design services with an innovative approach. The office undertakes residential, commercial and public projects in the UK and abroad with offices in Richmond and Munich.  Our expertise is drawn from working on projects throughout Europe and we use this experience to introduce the best methods, detailing and products to our projects.  The practice brings together talented and experienced architects from the UK and Germany, who are dedicated to producing imaginative, high quality buildings, irrespective of scale."
3W Architecture Limited,Rainville Road,LONDON,,W6 9HA,020 7835 5552,,www.3w.org,"3W are concerned with creating innovative, practical and cost effective solutions, from stategic planning to the finest detail resulting in a suitably crafted product."
42 Architects, Katarina Vastra Kyrkogata 8,Stockholm, Stockholm,11625,0046738424667,,www.42architects.com,"42 is a young architecture and design studio based in Stockholm, Sweden, and with a local branch in the UK. As a practice we are driven by the belief that architecture can enhance our society through excellence in design, coupled with contextual sensibility and a strong understanding of the social, cultural and environmental needs of our times.   The architectural output is driven by inventive ideas and strong concepts. We have established a thorough research methodology within the office, which means that we are able to deal with most types of projects and contexts without a pre-determined style. However, as much as we enjoy grand ideas, we also value the small scale and the intricate, and put great emphasis on achieving high quality detailing, atmosphere and materiality, regardless of the size of project and budget. We are often part of projects from an early stage, where our competence and skills can be used to help define the scope and brief of the project, as well as help secure funding from public and corporate bodies.  We undertake work in sectors such as Arts and Culture, Commercial, Sports & Leisure, Residential and Public projects. Our experience extends from one-off, carefully crafted interior fit-outs to large public buildings and landscape projects in Sweden, UK and the middle east."
4CB ARCHITECTS LLP, 1010 Cambourne Business Park,Great Cambourne, Cambridge,CB23 6DP,01223 597924,,www.4cbarchitects.com,"4CB ARCHITECTS LLP (former marek sekowski architect) have significant experience in both residential and commercial projects, producing innovative designs on time and within budget. The practice provides a comprehensive architectural service for a wide range of building types with a flexible approach to project implementation."
4D Studio Ltd,69-79 Fulham High Street,LONDON,,SW6 3JW,020 7471 8550,,www.4d-studio.co.uk,"“The results were truly spectacular. We were by far the best product on the market” Client  “A great success in every respect and John remains our first port of call on all development projects, large and small” Client  “Considers a design which is built around a Client’s brief whilst maintaining a practical approach to build-ability, cost and programme and always come up trumps in delivering a cost-effective well designed building.” Cost Consultant  “They have always delivered their projects on time and on budget. They have great empathy for the aspirations of both fellow professionals and their clients.” Engineer  “a significant architect with a very special knowledge of design/construction management, with great understanding of briefing, process and outcome’ Consultant “has a way of communicating that is open, honest, straightforward and engaging. My dealings with him have always left me feeling positive and empowered.” Client"
50 Degrees North Architects, 50 Degrees North Architects Willoughby House 439 Richmond Road,TWICKENHAM, Middlesex,TW1 2AG,0208 744 2337,,www.50degrees.co.uk,
51 Architecture,1A Cobham Mews,London,,NW1 9SB,0203 355 1205,,www.51architecture.com,"51 architecture is an award winning architecture practice founded by Peter Thomas and Catherine du Toit. Our work spans a variety of scales and countries, working and collaborating with diverse groups including private individuals, charities, artists and communities. A holistic design philosophy balances crafted, functional detailing with the wider needs of our clients. Design begins with contextual research and we explore architectural opportunities through drawing, model making and continued interaction with a building’s prospective users and stakeholders. As stewards of the natural environment and our client’s resources, we are committed to creating thoughtful and sustainable building solutions. 51 architecture delivers projects that are beautiful, efficient and fit for purpose."
5D Architects Ltd,764 Finchley Road,London,,NW11 7TH,0208 458 4326,,www.5darchitects.org.uk,"The practice has been long established and concentrates on high quality residential projects. Nearly all commissions come through recommendation from previous clients.  Projects are for new houses and major refurbishment of existing properties. The aim is give a personal service and remove the headaches that are involved in working on private homes. The objectives of the practice are to provide light and space to luxury private homes. The need to understand the client’s wishes are paramount and the overall concept of each project is established early in the discussion stage so that the end product is what is desired. The practice has numerous satisfied clients and can provide as many references as may be required. The work is concentrated in the London Boroughs of Barnet, Camden, Kensington & Chelsea and Westminster."
5PA Architects Ltd,3 Southwark Street,London,,SE1 1RQ,020 3371 1622,,www.5pa.co.uk,"The practice has been long established and concentrates on high quality residential projects. Nearly all commissions come through recommendation from previous clients.  Projects are for new houses and major refurbishment of existing properties. The aim is give a personal service and remove the headaches that are involved in working on private homes. The objectives of the practice are to provide light and space to luxury private homes. The need to understand the client’s wishes are paramount and the overall concept of each project is established early in the discussion stage so that the end product is what is desired. The practice has numerous satisfied clients and can provide as many references as may be required. The work is concentrated in the London Boroughs of Barnet, Camden, Kensington & Chelsea and Westminster."
5plus Architects London Ltd,25 Chart Street,LONDON,,N1 6FA,020 7253 7644,,www.5plusarchitects.com,"5plus is a creative, award winning design studio operating as one practice across offices in Manchester and London. We deliver core services of Architecture, Masterplanning, Urban Design, Interiors, Graphics and Branding.  We are founded on collaborative principles that are close to our hearts. We wanted to find a better way of working, a better way of delivering the best buildings and the best urban design solutions.  Collective experiences and knowledge are shared and ideas are created, informed and nurtured to deliver award winning schemes.  No single name above the door, team driven, shared pain and shared glory."
5plus Architects Ltd, 4th Floor The Hive 47 Lever Street,MANCHESTER, Lancashire,M1 1FN,0161 228 0211,,www.5plusarchitects.com,"5plus is a creative, award winning design studio operating as one practice across offices in Manchester and London. We deliver core services of Architecture, Masterplanning, Urban Design, Interiors, Graphics and Branding.  We are founded on collaborative principles that are close to our hearts. We wanted to find a better way of working, a better way of delivering the best buildings and the best urban design solutions.  Collective experiences and knowledge are shared and ideas are created, informed and nurtured to deliver award winning schemes.  No single name above the door, team driven, shared pain and shared glory."
5th Studio,21 Wren Street,LONDON,,WC1X 0HF,020 7837 7221,,www.5thstudio.co.uk,
5th Studio Ltd, Darkroom Unit 8 Dales Brewery Gwydir Street,CAMBRIDGE, Cambridgeshire,CB1 2LJ,01223 516009,,www.5thstudio.co.uk,"5th Studio is a design-led architecture practice with a growing reputation across Europe for its well-considered and energetic approach to architecture and urbanism. Our workload ranges from project values of £40,000 to £100 million, and from furniture design to large-scale urban design.  5th Studio are AJ / Corus 40 Under 40 award-winners  We participate in (and often initiate) high quality projects in a creative and vital way. We seek to create inspired settings for modern life."
74 Architects,waulk mill,Manchester,,M4 6LN,0161 960 0074,,www.74architects.com,"We are seventyfour, a collective of award winning Architects and Designers, working together to provide an exemplar design service to a broad range of interesting clients.   Our team has over over 20 years of experience, gained whilst working for a range of distinguished practices in London, Manchester, Liverpool + Edinburgh. We lend our success, both individually and as a team of creative professionals, to our ability to fully understand the needs and aspirations of our clients.  Our creativity is a fluid thing, born of a rigorous design process developed over the years to ensure that every voice is heard and all members of our team are fully engaged.    We do not have a house style or a top-down design ethos. We are influenced by the attributes of each project and its context, and use a variety of methods to seek the qualities that contribute to a sense of place.   Our design process is about testing options, debating what works and discarding what doesn’t. This process of refinement allows us to explore a wide range of alternatives quickly and openly.   We fight for what is important to our clients and end users.  We can demonstrate how we consistently add value for our clients.  We are straight forward and communicate clearly.  We are approachable and friendly.  We design amazing places, buildings and spaces for the people who use them.  We enjoy what we do and you will enjoy working with us."
7N Architects,7 Randolph Place,EDINBURGH,,EH3 7TE,0131 220 5541,,www.7narchitects.com,"We are a design studio where architecture, masterplanning, urbanism, landscape and social entrepreneurship are woven together in a dynamic approach to environmental regeneration and transformational change.   Our strength lies in an holistic approach to making better places through ideas led strategies that are embedded in their physical, social and economic contexts. An approach that always seeks to unlock the full potential of a project opportunity and deliver added value and wellbeing in their widest sense."
8x8 Limited,4 Kelmore Grove,London,,SE22 9BH,07734 102 854,,www.8x8projects.com,"8x8 is a bespoke consultancy that provides tailored design solutions and management expertise with an emphasis on sports venues and major sporting events.   8x8 was established in 2012 by Pete & Celia Richardson, after Pete’s successful design and delivery of the Horse Guards Parade & The Mall venues for the London 2012 Olympics.   Pete and Celia have a wealth of experience working on high-profile projects from inception to completion. We have a broad knowledge of all aspects of the construction industry with excellent design and technical ability. We have worked for a number of renowned architects, both in the UK and internationally, and with Peter having originally trained and practiced as a structural engineer, embrace a multi-disciplinary approach.    OUR ETHOS  Our philosophy is to constantly scrutinise, challenge, and refine our response to a project, whilst encouraging our clients to contribute fully to the design process, as we consider this to be the most effective way to achieve a considered and appropriate solution.   We are talented and motivated people who share a passion to deliver a high quality service to the most challenging of projects. We work closely with our clients to realise the full potential of each project within its unique boundaries, and our solutions respond to the projects brief without preconceived ideas or ego.   COLLABORATION  In the summer of 2013 WilsonOwensOwens (WOO) and 8x8 came together on a successful bid as design services consultants for Rugby World Cup - England 2015.  The combination of WOO and 8x8 brings together the most influential designers on London 2012’s Venues team, respected in the sporting venue business worldwide because of our experience, understanding of operations, our creativity and our approach."
A & J Architects, Ardnacree School Lane Collingham,WETHERBY, West Yorkshire,LS22 5BD,01937 579 200,,www.aj-architects.com,"A + J Architects have a hands-on, director led approach to all projects.  We are passionate about architecture and how it interacts within the built environment.   Based in Collingham, near Wetherby, we have built up a portfolio of projects in the following sectors:  Healthcare, Education, Residential, Commercial, Retail and Leisure.  We work throughout the Yorkshire and Lincolnshire areas with a number of completed buildings in Leeds, Harrogate, Wetherby, Boston and Grimsby."
A + G Architects Limited, 11 Leicester Road,LOUGHBOROUGH, Leicestershire,LE11 2AE,01509 212310,,www.aandgarchitects.com,A+G architects are committed to producing great design and providing a quality service throughout the design and construction process. We work collaboratively with a wide range of other disciplines to deliver successful projects and we recognise the importance of effective communication. We work on projects within most construction sectors but we do have a particular expertise in the education field.
A B Roger & Young Ltd, 9 MacGregor Street,BRECHIN, Angus,DD9 6AB,01356 622125,,,"This practice has a broad client base embracing the commercial, industrial,  private and public  sectors, a  large percentage  of  work involving residential properties."
A for Architect, 7 Carnarvon Court Bretby,Burton-On-Trent, Staffordshire,DE15 0UA,,,www.aforarchitect.co.uk,MAKE SPACE with A for Architect.   A for Architect is a creative and innovative Architects' Studio based near Burton-on-Trent. We offer a full range of Architectural Services and provide a friendly and personal service.  For more information about A for Architect check out our website.
A J Bunning Architect, Hatherland Mill Lower Washfield,Tiverton, Devon,EX16 9PG,01398 351165,,,MAKE SPACE with A for Architect.   A for Architect is a creative and innovative Architects' Studio based near Burton-on-Trent. We offer a full range of Architectural Services and provide a friendly and personal service.  For more information about A for Architect check out our website.
A M Meri Architects, 52 Fairway Avenue,WEST DRAYTON, Middlesex,UB7 7AN,0189 5444 998,,www.meriarchitects.com,"As architects we invest our time on developing ideas that lead to practical solutions to any given architectural challenges. Our unique design methods and techniques are not only for creating comfortable and pleasant spaces that benefit the society, but also to add lasting values."
A Small Studio Ltd,40 Martell Road,LONDON,,SE21 8EN,020 8133 5675,,www.asmallstudio.co.uk,"We are an architecture, planning & landscape practice based in London. We work with an interdisciplinary network of makers, builders, and designers leading to innovative collaborations. We undertake commissions both small and large and specialise in residential projects. We provide a tailored service: either managing your entire project or specified elements. Our unique process allows us to treat each project differently."
A Squared Architects, 1 Netherconesford 93-95 King Street,NORWICH, Norfolk,NR1 1PW,01603 664379,,www.asquaredarchitects.com,"We are an architecture, planning & landscape practice based in London. We work with an interdisciplinary network of makers, builders, and designers leading to innovative collaborations. We undertake commissions both small and large and specialise in residential projects. We provide a tailored service: either managing your entire project or specified elements. Our unique process allows us to treat each project differently."
A.D.M.S Ltd Architects, 25a Spencer Road,LONDONDERRY, County Londonderry,BT47 6AA,028 71341260,,www.adms-ni.com,"Established in 1990, ADMS Ltd Architects have developed a strong reputation for meeting client requirements, along with consideration to the context of all architectural projects designed. Experienced design team members play an important part in initial feasibility and design studies, negotiating and gaining statutory approvals, and site execution. Combined with AutoCAD based design procedures the practice offers one-on-one commitment to achieving the best possible solution for a wide range of clients. A respect for sustainability, environment and built heritage helps ensure optimum and practical design solutions. Both completed works and ongoing projects within the practice reflect this ethos. As official distributors of Ordnance Survey Northern Ireland, ADMS Ltd can also offer additional mapping service requirements."
